,element_type,osmid,highway,geometry,addr:city,building,addr:country,addr:district,addr:district:en,addr:housenumber,addr:postcode,addr:province,addr:province:en,addr:street,addr:street:en,addr:subdistrict,addr:subdistrict:en,addr:housename,construction,nodes,name,name:ar,name:en,oneway,alt_name,alt_name:en,junction,country,diplomatic,embassy,name:fr,office,target,building:levels,height,foot,access,amenity,healthcare,source,religion,note,building_1,layer,tunnel,bridge,lanes,maxspeed,note:en,brand,brand:wikidata,brand:wikipedia,shop,phone,website,contact:facebook,contact:instagram,contact:whatsapp,email,healthcare:speciality,brand:ar,brand:en,cuisine,opening_hours,takeaway
202,way,722937266,residential,"LINESTRING (31.1993469 30.0559201, 31.1992796 30.0558794, 31.1992216 30.0558366, 31.1991267 30.0557552, 31.1987341 30.0553789)",,,,,,,,,,,,,,,,"[6780996238, 6780996223, 360667474, 6780996242, 3660582389]",شارع الحجاز,شارع الحجاز,Al Hegaz Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,way,722937267,residential,"LINESTRING (31.2012245 30.0565486, 31.2010565 30.0565318, 31.2008556 30.0565116, 31.2006499 30.0564632)",,,,,,,,,,,,,,,,"[3812606432, 6780996227, 321212120, 6780996229]",شارع الحجاز,شارع الحجاز,Al Hegaz Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,way,722937268,residential,"LINESTRING (31.2010824 30.0532815, 31.2010906 30.0532514, 31.2010925 30.053218, 31.2010934 30.0531865, 31.2010894 30.0531564)",,,,,,,,,,,,,,,,"[6452794108, 6452794111, 6780996244, 6780996243, 6456173383]",,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,way,722937270,residential,"LINESTRING (31.2008896 30.0542859, 31.2007714 30.0542186, 31.2006665 30.054139, 31.2005746 30.0540481, 31.2004973 30.0539476, 31.2004359 30.0538392, 31.2003861 30.0537191)",,,,,,,,,,,,,,,,"[6780996251, 6780996252, 6780996253, 6780996254, 6780996255, 6780996256, 6780996257]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,way,722937271,service,"LINESTRING (31.1966472 30.0557103, 31.1968696 30.0559514)",,,,,,,,,,,,,,,,"[6780996259, 6780996258]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,way,722937273,residential,"LINESTRING (31.199138 30.0508265, 31.1990784 30.0508578, 31.1989151 30.0509464, 31.1986051 30.0511718, 31.198475 30.0512786, 31.1983634 30.0514, 31.1982816 30.0515194, 31.1982096 30.0516435, 31.1981476 30.0517715, 31.198096 30.051903, 31.198055 30.0520372, 31.1980033 30.0522414, 31.1979632 30.0524475, 31.1979339 30.052655, 31.1979248 30.0528449, 31.1979143 30.0529356, 31.1978359 30.0534975, 31.1978215 30.0536088, 31.1978222 30.0537208, 31.1978328 30.0538051, 31.197852 30.0538883, 31.1978795 30.0539697, 31.1980903 30.0545492, 31.1981499 30.0546882, 31.1982107 30.0547848, 31.1982973 30.054889, 31.1984868 30.0551148, 31.1986687 30.0553119)",,,,,,,,,,,,,,,,"[321215525, 6556682988, 6769505160, 3816918244, 6780996287, 321215524, 6780996288, 6461793833, 6780996283, 321215523, 321230988, 6461793834, 6780996284, 6769505159, 321212188, 3816918255, 6769872377, 6780996270, 321216009, 6782277437, 6780996271, 321212125, 321215933, 321228589, 6780996269, 321212124, 6464353571, 340154616]",شارع الحجاز,شارع الحجاز,Al Hegaz Street,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,way,722937284,construction,"LINESTRING (31.2014882 30.0558448, 31.2013488 30.0565873, 31.201323 30.0567591, 31.2012422 30.0573181, 31.2011746 30.057785, 31.2010933 30.0584002)",,,,,,,,,,,,,,,tertiary,"[3812606429, 3812606433, 6455794345, 3812641773, 3812641775, 3812606438]",شارع وادى النيل,شارع وادى النيل,Wadi Al Nil Street,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,way,722937285,construction,"LINESTRING (31.2009702 30.0583786, 31.201091 30.0575321, 31.2012245 30.0565486, 31.2013479 30.0558335)",,,,,,,,,,,,,,,tertiary,"[3818972001, 3812606436, 3812606432, 3812606430]",شارع وادى النيل,شارع وادى النيل,Wadi Al Nil Street,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,way,723070619,service,"LINESTRING (31.203449 30.0556031, 31.2032318 30.0557024, 31.203208 30.0556956, 31.2031885 30.0556682, 31.2031974 30.0556394, 31.2033932 30.0555393)",,,,,,,,,,,,,,,,"[6782277443, 6782277442, 6782277441, 6782277440, 6782277439, 6782277438]",,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,way,723331175,tertiary,"LINESTRING (31.1953046 30.0526566, 31.1933903 30.052474, 31.193304 30.0524658, 31.1916826 30.0522774, 31.1915448 30.0522613)",,,,,,,,,,,,,,,,"[3816918256, 6464835835, 3816918957, 6805948368, 6805948371]",شارع سوريا,شارع سوريا,Surya Street,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,way,723331176,tertiary,"LINESTRING (31.1954038 30.0526687, 31.1953046 30.0526566)",,,,,,,,,,,,,,,,"[3818971987, 3816918256]",,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,way,725800236,residential,"LINESTRING (31.1951075 30.0502274, 31.1952131 30.0502483, 31.1952316 30.0502551, 31.1952522 30.0502643, 31.1953532 30.0503191, 31.1958893 30.050609)",,,,,,,,,,,,,,,,"[321232144, 6805138281, 6805138282, 6805138280, 6805139386, 6805139385]",شارع العراق,شارع العراق,Iraq Street,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,way,725800237,residential,"LINESTRING (31.1958637 30.0506426, 31.1953226 30.0503621, 31.195187 30.050288, 31.1951075 30.0502274)",,,,,,,,,,,,,,,,"[6805139387, 6805139388, 10723680363, 321232144]",شارع العراق,شارع العراق,Iraq Street,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,way,725898987,residential,"LINESTRING (31.1978277 30.0591342, 31.1976354 30.0591544, 31.1976316 30.0591544, 31.1976275 30.0591533, 31.1976247 30.0591506, 31.1976238 30.059147, 31.1976133 30.0590593)",,,,,,,,,,,,,,,,"[6805948223, 8386596611, 8386596609, 8386596608, 6805948222, 8386596610, 8386596612]",عطفه خطاب عثمان,عطفه خطاب عثمان,Atafet Khatab Othman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,way,725898988,residential,"LINESTRING (31.1974061 30.0587143, 31.197216 30.0587563, 31.1972113 30.0587554, 31.1972102 30.058752, 31.1972089 30.0586548)",,,,,,,,,,,,,,,,"[6805948340, 8386596576, 6805948339, 8386596575, 8386596577]",شارع موسي جاد,شارع موسي جاد,Mousa Gad Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,way,725898989,residential,"LINESTRING (31.196946 30.0586723, 31.1970513 30.0588887)",,,,,,,,,,,,,,,,"[6805948342, 6805948341]",حارة الطويل,حارة الطويل,Al Tawil Alley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,way,725898990,residential,"LINESTRING (31.1973445 30.0601342, 31.1973149 30.0598016, 31.19732 30.0597865, 31.1973303 30.0597735, 31.1973447 30.0597639, 31.1973618 30.0597586, 31.1975526 30.0597505, 31.197614 30.0597479)",,,,,,,,,,,,,,,,"[6805948361, 6805948360, 6805948357, 6805948359, 6805948356, 6805948358, 10585195890, 6805948354]",شارع متفرع من شارع 26 يوليو,شارع متفرع من شارع 26 يوليو,Street From 26th July Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,way,725898991,service,"LINESTRING (31.1953525 30.0467132, 31.195149 30.0468644, 31.1951429 30.0468754, 31.1951409 30.0468875, 31.1951433 30.0468995, 31.1951497 30.0469104, 31.1952442 30.0469979)",,,,,,,,,,,,,,,,"[6805948380, 6805948379, 6805948377, 6805948378, 6805948376, 6805948375, 6805948374]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,way,725898992,service,"LINESTRING (31.1951094 30.0464463, 31.194988 30.046544, 31.1949801 30.046564, 31.1949789 30.0465851, 31.1949843 30.0466056, 31.1949961 30.0466241, 31.1950766 30.0467031)",,,,,,,,,,,,,,,,"[6805948425, 6805948424, 6805948421, 6805948423, 6805948420, 6805948422, 6805948419]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,way,725898993,residential,"LINESTRING (31.19403 30.045278, 31.19387 30.045361, 31.1937529 30.0453901, 31.1936885 30.0453982)",,,,,,,,,,,,,,,,"[6805948456, 6805948455, 6805948453, 6805948454]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,way,754189633,tertiary_link,"LINESTRING (31.196865 30.0566786, 31.1967874 30.0565855)",,,,,,,,,,,,,,,,"[6780996202, 7045986823]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,way,769928693,,"POLYGON ((31.2004495 30.0532684, 31.2006908 30.0532524, 31.2007101 30.0534697, 31.2005251 30.053482, 31.2005175 30.0533959, 31.200497 30.0533972, 31.2004942 30.0533654, 31.2004583 30.0533677, 31.2004495 30.0532684))",القاهرة,yes,,,,,,,,,,,,,,"[7187614269, 7187614268, 7187614267, 7187614266, 7187614265, 7187614262, 7187614264, 7187614263, 7187614269]",مستشفى السلام,مستشفى السلام,Al Salam Hospital,,,,,,,,,,,,,,,hospital,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,
224,way,769986409,,"POLYGON ((31.1972957 30.051644, 31.1973908 30.0514648, 31.197575 30.051538, 31.1976075 30.0516183, 31.197394 30.0516831, 31.1972957 30.051644))",القاهرة,yes,,,,,,,,,,,,,,"[7188163499, 7188163498, 7188163497, 7188163496, 7188163495, 7188163499]",مستشفى الصفا,مستشفى الصفا,El Safa Hospital,,,,,,,,,,,,,,,hospital,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,
225,way,772945575,residential,"LINESTRING (31.1931579 30.0495502, 31.1923312 30.0494034)",,,,,,,,,,,,,,,,"[361027747, 6805139390]",شارع العراق,شارع العراق,Iraq Street,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,way,849426134,footway,"LINESTRING (31.2020119 30.0537614, 31.2019221 30.0537019, 31.2018518 30.0536553, 31.2017754 30.053696)",,,,,,,,,,,,,,,,"[7924922526, 7924922520, 7924922525, 6455430276]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,way,849426135,footway,"LINESTRING (31.2024019 30.0534899, 31.2023059 30.0535213, 31.2022168 30.0535654, 31.2021368 30.0536211, 31.2020679 30.053687, 31.2020119 30.0537614, 31.2019709 30.0538408)",,,,,,,,,,,,,,,,"[271856707, 7924922521, 7924922522, 7924922523, 7924922524, 7924922526, 2031386834]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,way,849426138,footway,"LINESTRING (31.2034264 30.0553255, 31.2034948 30.0552831, 31.2035818 30.0552292)",,,,,,,,,,,,,,,,"[7924922532, 7924922530, 7924922531]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,way,849426139,footway,"LINESTRING (31.2034988 30.0554055, 31.2036553 30.0553093)",,,,,,,,,,,,,,,,"[7924922538, 7924922533]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,way,849426140,footway,"LINESTRING (31.2039359 30.0559748, 31.2039872 30.0559416, 31.2041429 30.0558408, 31.2042347 30.0557815)",,,,,,,,,,,,,,,,"[7924922535, 7924922537, 7924922534, 7924922536]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,way,849426141,footway,"LINESTRING (31.2046588 30.0564032, 31.2046753 30.0564241, 31.2046833 30.0564516, 31.2046774 30.0564794, 31.2046513 30.0565014, 31.2046053 30.056508, 31.2045521 30.0565011, 31.2045028 30.0564826, 31.2044607 30.0564536, 31.2039872 30.0559416, 31.2038246 30.0557657, 31.2034988 30.0554055, 31.2034264 30.0553255, 31.2022609 30.0540372, 31.2021723 30.0539223, 31.2021482 30.0538759, 31.2021452 30.0538441, 31.2021454 30.0538153, 31.2021603 30.0537895, 31.2021869 30.0537722, 31.2022196 30.0537668, 31.2022517 30.0537744, 31.2022765 30.0537936, 31.2027235 30.0543065, 31.2035818 30.0552292, 31.2036553 30.0553093, 31.2041429 30.0558408, 31.2046588 30.0564032)",,,,,,,,,,,,,,,,"[7924922551, 7924922540, 7924922539, 7924922550, 7924922549, 7924922548, 7924922547, 7924922541, 7924922546, 7924922537, 7924922545, 7924922538, 7924922532, 7924922544, 7924922543, 7924922542, 7924922559, 7924922558, 7924922557, 7924922556, 7924922555, 7924922554, 7924922553, 7924922552, 7924922531, 7924922533, 7924922534, 7924922551]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,way,849437824,footway,"LINESTRING (31.2015933 30.0537663, 31.2015223 30.053733, 31.2014562 30.0536928, 31.2013959 30.0536463, 31.2013423 30.053594, 31.2012993 30.0535414, 31.2012631 30.0534851, 31.201234 30.0534258, 31.2012124 30.0533641, 31.2011985 30.0533008)",,,,,,,,,,,,,,,,"[6780996339, 7925010748, 7925010745, 7925010744, 7925010740, 7925010747, 7925010743, 7925010742, 7925010746, 7925010741]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,way,849437825,footway,"LINESTRING (31.2012177 30.05368, 31.2013423 30.053594, 31.2015022 30.0534836)",,,,,,,,,,,,,,,,"[6456173381, 7925010740, 7925010749]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,way,849437826,footway,"LINESTRING (31.2016364 30.0544529, 31.2015156 30.0544398)",,,,,,,,,,,,,,,,"[7925010750, 3812606389]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,way,849437827,footway,"LINESTRING (31.2012748 30.0603824, 31.2013311 30.0599298, 31.20134 30.0598582, 31.2013853 30.0594937)",,,,,,,,,,,,,,,,"[7925010755, 7925010754, 7925010757, 7925010756]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,way,849484325,footway,"LINESTRING (31.2014006 30.0594132, 31.2014545 30.0590514, 31.2014667 30.0589697)",,,,,,,,,,,,,,,,"[7925010753, 7925010751, 7925010752]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,way,849484326,footway,"LINESTRING (31.2015234 30.0603898, 31.2015818 30.0599591, 31.2015919 30.0598847, 31.2016407 30.0595246, 31.2016526 30.0594371, 31.2017017 30.0590749, 31.2017129 30.0589928)",,,,,,,,,,,,,,,,"[7925417392, 7925417388, 7925417387, 7925417390, 7925417389, 8254414709, 7925417391]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,way,850562048,footway,"LINESTRING (31.2057361 30.0579662, 31.2060258 30.0577692)",,,,,,,,,,,,,,,,"[7935056886, 7935056885]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,way,887813966,residential,"LINESTRING (31.1995736 30.0593087, 31.1995504 30.0596054, 31.1994726 30.06027)",,,,,,,,,,,,,,,,"[8254414712, 8254414711, 8254414710]",امتداد شارع ابراهيم سليمان,امتداد شارع ابراهيم سليمان,Extension Ibrahim Suliman Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,way,902963923,residential,"LINESTRING (31.1976072 30.0598642, 31.197614 30.0597479, 31.1976306 30.0592273, 31.1976301 30.059219, 31.1976259 30.0592115, 31.1976187 30.059206, 31.1976095 30.0592034, 31.1975124 30.0592014, 31.1975024 30.0592001, 31.1974939 30.0591953, 31.1974885 30.059188, 31.1974805 30.0591489, 31.1974754 30.0591408, 31.1974668 30.0591353, 31.1974563 30.0591334, 31.1974459 30.0591355, 31.1973086 30.0591599, 31.1972996 30.0591612, 31.1972908 30.0591588, 31.1972842 30.0591533, 31.1972811 30.0591459, 31.1972498 30.0590041, 31.1972478 30.058997, 31.1972434 30.0589906, 31.1972371 30.0589857, 31.1972294 30.0589825, 31.1972209 30.0589815, 31.1969448 30.0590294)",,,,,,,,,,,,,,,,"[7239485974, 6805948354, 8386631021, 8386631020, 2760456009, 8386631019, 8386631022, 8386631025, 8386631024, 8386631034, 8386631023, 8386631028, 8386631027, 6465382021, 8386631026, 8386631029, 8386631033, 8386631031, 6465382022, 8386631030, 8386631032, 6805948351, 6805948348, 6805948347, 6805948350, 6805948346, 6805948349, 6805948345]",شارع خلف مدرسه الازهار,شارع خلف مدرسه الازهار,Khalf Madrasa Al Azhar Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,way,903080773,residential,"LINESTRING (31.1987773 30.0591864, 31.1987807 30.0589895)",,,,,,,,,,,,,,,,"[8387797872, 8387797871]",حارة عبد القادر موسى,حارة عبد القادر موسى,Abd Al Qader Mousa Alley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,way,903080774,residential,"LINESTRING (31.1990757 30.0600442, 31.1990945 30.0598002)",,,,,,,,,,,,,,,,"[8387797902, 8387797901]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,way,903080775,residential,"LINESTRING (31.1989885 30.0602531, 31.199 30.0599113)",,,,,,,,,,,,,,,,"[8387797916, 8387797915]",شارع النساج,شارع النساج,Al Nesag Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,way,903080776,residential,"LINESTRING (31.1983797 30.0587665, 31.1983794 30.0585376, 31.1983733 30.0584934, 31.1983648 30.0584596, 31.198353 30.0584265, 31.1983178 30.0583361)",,,,,,,,,,,,,,,,"[6780530675, 8387797923, 6780530678, 8387797921, 8387797922, 2760455996]",شارع الطويل,شارع الطويل,Al Tawil Street,,,,,,,,,,,,,,,,,,,متفرع من شارع السد العالي,,,,,,,From Al Sad Al Aali Street,,,,,,,,,,,,,,,,
245,way,989253992,,"POLYGON ((31.2002361 30.052146, 31.2003953 30.0522674, 31.2002571 30.0524033, 31.2000979 30.052282, 31.2002361 30.052146))",,yes,,,,,,,,,,,,,,"[9143447029, 9143447030, 9143447031, 9143447032, 9143447029]",,,,,,,,,,,,,,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,way,989253993,,"POLYGON ((31.2003699 30.0523523, 31.2001643 30.0526186, 31.2002914 30.0526921, 31.200497 30.0524258, 31.2003699 30.0523523))",,yes,,,,,,,,,,,,,,"[9143447033, 9143447034, 9143447035, 9143447036, 9143447033]",,,,,,,,,,,,,,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,way,989253994,,"POLYGON ((31.2001488 30.052057, 31.2000111 30.0518953, 31.1998169 30.0521372, 31.1999973 30.0522457, 31.2001488 30.052057))",,yes,,,,,,,,,,,,,,"[9143447037, 9143447038, 9143447039, 9143447040, 9143447037]",,,,,,,,,,,,,,7,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,way,989253995,,"POLYGON ((31.2000056 30.0518592, 31.1998097 30.0520782, 31.1996329 30.0519597, 31.1998288 30.0517407, 31.2000056 30.0518592))",,apartments,,,,,,,,,,,,,,"[9143447041, 9143447042, 9143447043, 9143447044, 9143447041]",,,,,,,,,,,,,,12,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,way,990086562,,"POLYGON ((31.1964264 30.0571087, 31.1965583 30.057254, 31.1964354 30.0573376, 31.1963034 30.0571923, 31.1964264 30.0571087))",,apartments,EG,العجوزه,Al Agouza,31,12657,الجيزه,Giza,شارع لبنان,Lebanon Street,ميت عقبه,Mit Okba,,,"[6790807887, 9149453530, 9149453531, 9149453532, 6790807887]",,,,,,,,,,,,,,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,way,990086563,,"POLYGON ((31.196945 30.0567114, 31.1969135 30.0567698, 31.1970543 30.0569421, 31.1972152 30.0568397, 31.1970497 30.0566448, 31.196945 30.0567114))",,commercial,EG,العجوزه,Al Agouza,29,12655,الجيزه,Giza,شارع لبنان,Lebanon Street,المهندسين,Al Mohandessin,,,"[6771440612, 9149453534, 9149453535, 9149453536, 9149453537, 6771440612]",,,,,,,,,,,,,,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,way,990095429,,"POLYGON ((31.197395 30.0568737, 31.197543 30.0570531, 31.1974327 30.0571294, 31.1973493 30.0571291, 31.1972228 30.0569938, 31.197395 30.0568737))",,apartments,EG,العجوزه,Al Agouza,67,12655,الجيزه,Giza,شارع شهاب,Shehab Street,المهندسين,Al Mohandessin,,,"[6771440368, 9149513170, 10572800783, 9149513171, 9149513172, 6771440368]",,,,,,,,,,,,,,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,way,990533620,,"POLYGON ((31.1962797 30.0565244, 31.1961932 30.0564297, 31.1960755 30.0565102, 31.1961621 30.0566049, 31.1962797 30.0565244))",,yes,EG,العجوزه,Al Agouza,68,12657,الجيزه,Giza,شارع شهاب,Shehab Street,ميت عقبه,Mit Okba,,,"[6790808046, 9152939419, 9152939420, 9152939421, 6790808046]",,,,,,,,,,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,way,990533621,,"POLYGON ((31.1961517 30.0563862, 31.1960341 30.0562584, 31.1959619 30.0563081, 31.1959456 30.0562905, 31.1958305 30.0563697, 31.1959239 30.0564714, 31.1960006 30.0564185, 31.196041 30.0564625, 31.1961517 30.0563862))",,yes,EG,العجوزه,Al Agouza,66,12657,الجيزه,Giza,شارع شهاب,Shehab Street,ميت عقبه,Mit Okba,,,"[6790808045, 9152939423, 9152939424, 9152939425, 9152939426, 9152939427, 9152939428, 9152939429, 6790808045]",,,,,,,,,,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,way,990533622,,"POLYGON ((31.1958002 30.0559885, 31.1958842 30.0561025, 31.1957045 30.0562065, 31.1956147 30.0560908, 31.1958002 30.0559885))",,apartments,EG,العجوزه,Al Agouza,16,12657,الجيزه,Giza,شارع القدس الشريف,Al Qods Al Sherif Street,ميت عقبه,Mit Okba,,,"[6790808044, 9152939431, 9152939432, 9152939433, 6790808044]",,,,,,,,,,,,,,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,way,990533623,,"POLYGON ((31.1957676 30.0559291, 31.1957086 30.0558536, 31.1955068 30.0559718, 31.1955658 30.0560473, 31.1957676 30.0559291))",,apartments,EG,العجوزه,Al Agouza,62,12657,الجيزه,Giza,شارع شهاب,Shehab Street,ميت عقبه,Mit Okba,,,"[6790808041, 9152939435, 9152939436, 9152939437, 6790808041]",,,,,,,,,,,,,,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,way,990533624,,"POLYGON ((31.1953749 30.0551986, 31.1954248 30.0553071, 31.1950944 30.055422, 31.1950431 30.0553124, 31.1953749 30.0551986))",,apartments,EG,العجوزه,Al Agouza,52,12657,الجيزه,Giza,شارع شهاب,Shehab Street,ميت عقبه,Mit Okba,,,"[6790808040, 9152939439, 9152939440, 9152939441, 6790808040]",,,,,,,,,,,,,,14,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,way,990533625,,"POLYGON ((31.1954265 30.0553324, 31.1951779 30.0554269, 31.1952296 30.0555286, 31.1954781 30.055434, 31.1954265 30.0553324))",,apartments,EG,العجوزه,Al Agouza,54,12657,الجيزه,Giza,شارع شهاب,Shehab Street,ميت عقبه,Mit Okba,,,"[6790808039, 9152939443, 9152939444, 9152939445, 6790808039]",,,,,,,,,,,,,,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,way,990533626,,"POLYGON ((31.195479 30.0554605, 31.1955316 30.0555611, 31.1952901 30.0556556, 31.1952375 30.0555549, 31.195479 30.0554605))",,apartments,EG,العجوزه,Al Agouza,56,12657,الجيزه,Giza,شارع شهاب,Shehab Street,ميت عقبه,Mit Okba,,,"[6790808038, 9152939447, 9152939448, 9152939449, 6790808038]",,,,,,,,,,,,,,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,way,990533627,,"POLYGON ((31.1955467 30.0555931, 31.1956115 30.0557015, 31.1953747 30.0558075, 31.1953099 30.055699, 31.1955467 30.0555931))",,apartments,EG,العجوزه,Al Agouza,58,12657,الجيزه,Giza,شارع شهاب,Shehab Street,ميت عقبه,Mit Okba,,,"[6790808037, 9152939451, 9152939452, 9152939453, 6790808037]",,,,,,,,,,,,,,7,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,way,990533628,,"POLYGON ((31.1951672 30.0546167, 31.1951407 30.0544917, 31.1948361 30.05454, 31.1948626 30.0546651, 31.1951672 30.0546167))",,apartments,EG,العجوزه,Al Agouza,46,12657,الجيزه,Giza,شارع شهاب,Shehab Street,ميت عقبه,Mit Okba,,,"[6790807999, 9152939455, 9152939456, 9152939457, 6790807999]",,,,,,,,,,,,,,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,way,990533629,,"POLYGON ((31.1952088 30.0544488, 31.1951816 30.0543076, 31.1949054 30.0543449, 31.1949321 30.0544925, 31.1952088 30.0544488))",,apartments,EG,العجوزه,Al Agouza,44,12657,الجيزه,Giza,شارع شهاب,Shehab Street,ميت عقبه,Mit Okba,,,"[6790808000, 9152939459, 9152939460, 9152939461, 6790808000]",,,,,,,,,,,,,,10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,way,990533630,,"POLYGON ((31.1951185 30.0541643, 31.1951317 30.054295, 31.1948512 30.0543162, 31.194838 30.0541854, 31.1951185 30.0541643))",,apartments,EG,العجوزه,Al Agouza,42,12657,الجيزه,Giza,شارع شهاب,Shehab Street,ميت عقبه,Mit Okba,,,"[6790808001, 9152939463, 9152939464, 9152939465, 6790808001]",,,,,,,,,,,,,,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,way,990533631,,"POLYGON ((31.1950665 30.0541619, 31.1950593 30.054037, 31.1947696 30.0540495, 31.1947769 30.0541746, 31.1950665 30.0541619))",,apartments,EG,العجوزه,Al Agouza,40,12657,الجيزه,Giza,شارع شهاب,Shehab Street,ميت عقبه,Mit Okba,,,"[6790808002, 9152939467, 9152939468, 9152939469, 6790808002]",,,,,,,,,,,,,,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,way,990533632,,"POLYGON ((31.1950518 30.0540125, 31.1948085 30.0540172, 31.1948053 30.0538938, 31.1950486 30.0538891, 31.1950518 30.0540125))",,apartments,EG,العجوزه,Al Agouza,38,12657,الجيزه,Giza,شارع شهاب,Shehab Street,ميت عقبه,Mit Okba,,,"[6790808003, 9152939471, 9152939472, 9152939473, 6790808003]",,,,,,,,,,,,,,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
